subID,cue,coherence,model,parameter,fitted_value
4,0.8,0.515,,n2_incong,-0.838284
4,0.8,0.515,,s2_cong,3.250804
4,0.8,0.515,,s2_incong,2.791656
4,0.8,0.515,,B,5.727124
4,0.8,0.54,,n1_cong,0.856878
4,0.8,0.54,,n1_incong,0.904112
4,0.8,0.54,,s1_cong,1.28963
4,0.8,0.54,,s1_incong,-0.131014
4,0.8,0.54,,n2_cong,-0.525812
4,0.8,0.54,,n2_incong,-0.250824
4,0.8,0.54,,s2_cong,2.202614
4,0.8,0.54,,s2_incong,-1.0
4,0.8,0.54,,B,1.797646
4,0.8,0.52,,n1_cong,1.585069
4,0.8,0.52,,n1_incong,1.962077
4,0.8,0.52,,s1_cong,1.218197
4,0.8,0.52,,s1_incong,1.459313
4,0.8,0.52,,n2_cong,-0.653433
4,0.8,0.52,,n2_incong,-1.0
4,0.8,0.52,,s2_cong,2.953746
4,0.8,0.52,,s2_incong,3.097873
4,0.8,0.52,,B,3.725702
4,0.8,0.61,,n1_cong,1.263346
4,0.8,0.61,,n1_incong,1.154816
4,0.8,0.61,,s1_cong,2.381727
4,0.8,0.61,,s1_incong,-1.0
4,0.8,0.61,,n2_cong,-0.20056
4,0.8,0.61,,n2_incong,-0.311512
4,0.8,0.61,,s2_cong,7.31848
4,0.8,0.61,,s2_incong,-1.0
4,0.8,0.61,,B,1.002835
5,0.5,0.515,,n1_neut,1.479954
5,0.5,0.515,,s1_neut,2.433722
5,0.5,0.515,,n2_neut,-0.417409
5,0.5,0.515,,s2_neut,3.712229
5,0.5,0.515,,B,6.055554
5,0.5,0.56,,n1_neut,0.03741
5,0.5,0.56,,s1_neut,0.916048
5,0.5,0.56,,n2_neut,-0.11541
5,0.5,0.56,,s2_neut,1.604914
5,0.5,0.56,,B,1.337072
5,0.5,0.53,,n1_neut,-0.009153
5,0.5,0.53,,s1_neut,0.596296
5,0.5,0.53,,n2_neut,-0.238286
5,0.5,0.53,,s2_neut,2.105188
5,0.5,0.53,,B,2.185687
